ticker,name,asset_type,dividends,currency,isin,source,source_file_path,active,start_date,end_date,notes
SGE.L,THE SAGE GROUP PLC ORD 1 4/77P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
NAIT.L,NORTH AMERICAN INCOME TST (THE) PLC ORD 5P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
SYNC.L,SYNCONA LIMITED ORD NPV,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
ITRK.L,INTERTEK GROUP PLC ORD 1P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
DLN.L,DERWENT LONDON PLC ORD 5P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
GRG.L,GREGGS PLC ORD 2P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
AAF.L,AIRTEL AFRICA PLC ORD USD0.50,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
ADIG.L,ABRDN DIVERSIFIED INCOME AND GROWTH ORD 1P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
SCT.L,SOFTCAT PLC ORD �0.0005,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
UKW.L,GREENCOAT UK WIND PLC ORD 1P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
UTG.L,UNITE GROUP PLC ORD 25P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
LWDB.L,LAW DEBENTURE CORPORATION PLC ORD 5P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
GYM.L,THE GYM GROUP PLC ORD 0.01P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
TTG.L,TT ELECTRONICS PLC ORD 25P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
PSN.L,PERSIMMON PLC ORD 10P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
PNL.L,PERSONAL ASSETS TRUST PLC ORD GBP0.125,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
SHED.L,URBAN LOGISTICS REIT PLC ORD 1P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
FCSS.L,FIDELITY CHINA SPEC. SITUATION PLC ORD 1P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
DRX.L,DRAX GROUP PLC ORD 11 16/29P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
RKT.L,RECKITT BENCKISER GROUP PLC ORD 10P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
HFD.L,HALFORDS GROUP PLC ORD 1P,uk stock,Y,GBX,,yfinance,-,Y,,,LSE : FTSE All-Share
